user_id,display_name,reputation,tags,link
454773,psychemedia,1343,"['r', 'python', 'yahoo-pipes', 'docker', 'docker-compose', 'ggplot2', 'ipython-notebook', 'mongodb', 'json', 'vagrant', 'puppet', 'pdf', 'php', 'leaflet', 'maptools', 'pymongo', 'pandas', 'jquery', 'rss', 'shapefile', 'shp', 'jupyter-notebook', 'graph', 'api', 'asp.net', 'beautifulsoup', 'bit.ly', 'blogger', 'bower', 'c#']",http://stackoverflow.com/users/454773/psychemedia
1678467,tnknepp,1325,"['python', 'pandas', 'python-2.7', 'matplotlib', 'numpy', 'dataframe', 'arrays', 'csv', 'emacs', 'indexing', 'list', 'datetime', 'multi-index', 'gis', 'boxplot', 'paramiko', 'python-3.x', 'serial-port', 'plot', 'matplotlib-basemap', 'memory', 'sftp', 'spectrogram', 'sql', 'sqlite', 'sql-server', 'ssh', 'subplot', 'subset', 'text']",http://stackoverflow.com/users/1678467/tnknepp
2179021,eleanora,1296,"['python', 'pandas', 'numpy', 'math', 'algorithm', 'performance', 'scikit-learn', 'scipy', 'bash', 'c', 'machine-learning', 'matplotlib', 'linux', 'dataframe', 'constraint-programming', 'integer-programming', 'statistics', 'statsmodels', 'ubuntu', 'windows', 'xgboost', 'optimization', 'pyspark', 'apache-spark', 'graph', 'anaconda', 'cython', 'nan', 'numba', 'keras']",http://stackoverflow.com/users/2179021/eleanora
2342399,Boosted_d16,1218,"['python', 'pandas', 'dataframe', 'list', 'string', 'regex', 'multi-index', 'loops', 'dictionary', 'powerpoint', 'rounding', 'replace', 'match', 'excel', 'floating-point', 'for-loop', 'indexing', 'charts', 'concat', 'condition', 'merge', 'rename', 'vba', 'split', 'sorting', 'multiple-columns', 'python-2.7', 'max', 'append', 'formatting']",http://stackoverflow.com/users/2342399/boosted-d16
6464893,Harrison,1209,"['python', 'flask', 'pandas', 'openpyxl', 'python-3.x', 'geopy', 'python-2.7', 'beautifulsoup', 'list', 'string', 'regex', 'random', 'html', 'dataframe', 'deployment', 'git', 'if-statement', 'for-loop', 'django', 'dropzone.js', 'duplicates', 'excel', 'exception-handling', 'file', 'formatting', 'flask-appbuilder', 'flask-wtforms', 'input', 'interactive', 'ipython']",http://stackoverflow.com/users/6464893/harrison
2242044,user2242044,1209,"['python', 'python-2.7', 'pandas', 'list-comprehension', 'javascript', 'vba', 'excel', 'excel-vba', 'matplotlib', 'jquery', 'tkinter', 'html', 'dictionary', 'flask', 'sql', 'selenium', 'salesforce', 'selenium-webdriver', 'csv', 'list', 'datetime', 'highcharts', 'dictionary-comprehension', 'd3.js', 'dataframe', 'json', 'numpy', 'oracle', 'reportlab', 'treeview']",http://stackoverflow.com/users/2242044/user2242044
1269634,Geoff,1160,"['python', 'django', 'javascript', 'css', 'django-templates', 'html', 'mysql', 'php', 'twitter-bootstrap', 'twitter-bootstrap-3', 'postgis', 'postgresql', 'highcharts', 'java', 'list', 'geodjango', 'ruby-on-rails', 'pandas', 'scip', 'ruby', 'django-haystack', 'django-models', 'django-queryset', 'gnu-parallel', 'css3', 'cython', 'algorithm', 'apache', 'apc', 'build']",http://stackoverflow.com/users/1269634/geoff
1236336,Graham Slick,1136,"['ruby-on-rails', 'java', 'ruby', 'processing', 'javascript', 'jgrapht', 'digraphs', 'jquery', 'css', 'algorithm', 'actioncable', 'activerecord', 'ajax', 'arrays', 'csv', 'html', 'devise', 'rest-client', 'ruby-on-rails-4', 'swift', 'reactjs', 'python', 'if-statement', 'ios', 'json', 'arraylist', 'amazon-web-services', 'avfoundation', 'background-process', 'class']",http://stackoverflow.com/users/1236336/graham-slick
1052985,ScottieB,1042,"['asp.net', 'd3.js', 'sql', 'gridview', 'jquery', 'amazon-redshift', 'javascript', 'python', 'beautifulsoup', 'code-behind', 'csv', 'sqldatasource', 'tooltip', 'ssms', 'updatepanel', 'urllib', 'visible', 'visualization', 'window-functions', 'xml', 'tipsy', 'row', 'refresh', 'postback', 'pandas', 'expand', 'css', 'itemtemplate', 'json', 'mysql']",http://stackoverflow.com/users/1052985/scottieb
1887261,meepl,1036,"['python', 'pandas', 'flask', 'javascript', 'jquery', 'parsing', 'html', 'function', 'json', 'list', 'sqlite', 'post', 'css', 'django', 'for-loop', 'google-analytics', 'ipython-notebook', 'python-requests', 'matplotlib', 'dictionary', 'dataframe', 'beautifulsoup', 'append', 'cron', 'excel', 'ipython', 'forms', 'email', 'lxml', 'sqlite3']",http://stackoverflow.com/users/1887261/meepl
